model_key,forecast_horizon_hours,forecast_horizon_label,window_start_utc,window_end_utc,window_date,drift_scope,cluster_key,route_name,row_count,eligible_row_count,reviewed_route_share,capacity_unknown_route_share,known_connector_restriction_share,truth_backed_curtailment_share,actual_opportunity_deliverable_mean_mwh,predicted_opportunity_deliverable_mean_mwh,residual_bias_mwh,residual_mae_mwh,actual_opportunity_gross_value_mean_eur,predicted_opportunity_gross_value_mean_eur,residual_bias_eur,residual_mae_eur,feature_drift_score,target_drift_score,residual_drift_score,drift_state,source_lineage
opportunity_group_mean_notice_v1,1,t_plus_1h,2024-10-02 00:00:00+00:00,2024-10-02 23:00:00+00:00,2024-10-02 00:00:00+00:00,global_daily,,,529,529,0.034026465028355386,0.026465028355387523,0.0,0.0,5.3429012162645195,3.1638225048843163,2.1790787113802037,6.873535220947942,310.1861840181153,25.65418531921386,284.5319986989014,284.9495908153871,0.026465028355387523,2.983990227803182,2.687425278423409,warn,fact_backtest_prediction_hourly
opportunity_group_mean_notice_v1,1,t_plus_1h,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,2024-09-30 00:00:00+00:00,route_daily,,R1_netback_GB_FR_DE_PL,16,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,warmup,fact_backtest_prediction_hourly
opportunity_group_mean_notice_v1,1,t_plus_1h,2024-10-01 00:00:00+00:00,2024-10-02 00:00:00+00:00,2024-10-01 00:00:00+00:00,route_daily,,R1_netback_GB_FR_DE_PL,384,383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,pass,fact_backtest_prediction_hourly
opportunity_group_mean_notice_v1,1,t_plus_1h,2024-10-02 00:00:00+00:00,2024-10-02 23:00:00+00:00,2024-10-02 00:00:00+00:00,route_daily,,R1_netback_GB_FR_DE_PL,368,368,0.0,0.03804347826086957,0.0,0.0,3.208234055317594,0.6241526288197232,2.584081426497871,2.6674647271201777,178.6919797955252,32.44186789639694,146.25011189912829,146.25011189912829,0.03804347826086957,3.208234055317594,2.6674647271201777,warn,fact_backtest_prediction_hourly
opportunity_group_mean_notice_v1,1,t_plus_1h,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,2024-09-30 00:00:00+00:00,route_daily,,R2_netback_GB_NL_DE_PL,7,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,warmup,fact_backtest_prediction_hourly
opportunity_group_mean_notice_v1,1,t_plus_1h,2024-10-01 00:00:00+00:00,2024-10-02 00:00:00+00:00,2024-10-01 00:00:00+00:00,route_daily,,R2_netback_GB_NL_DE_PL,168,168,0.03571428571428571,0.0,0.0,0.0,4.398465575472319,1.7151658249022426,2.683299750570076,6.113631400374562,338.3805544194488,0.0,338.3805544194488,338.3805544194488,0.03571428571428571,,,pass,fact_backtest_prediction_hourly
opportunity_group_mean_notice_v1,1,t_plus_1h,2024-10-02 00:00:00+00:00,2024-10-02 23:00:00+00:00,2024-10-02 00:00:00+00:00,route_daily,,R2_netback_GB_NL_DE_PL,161,161,0.11180124223602485,0.0,0.0,0.0,10.222140441286065,8.968782221603387,1.2533582196826787,16.487410635411404,610.744365098321,10.139482285652532,600.6048828126685,601.9769711954073,0.07608695652173914,1.3240242002322329,1.6968277208209306,warn,fact_backtest_prediction_hourly
opportunity_group_mean_notice_v1,6,t_plus_6h,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,2024-09-30 00:00:00+00:00,cluster_daily,dogger_hornsea_offshore,,3,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,warmup,fact_backtest_prediction_hourly
opportunity_group_mean_notice_v1,6,t_plus_6h,2024-10-01 00:00:00+00:00,2024-10-02 00:00:00+00:00,2024-10-01 00:00:00+00:00,cluster_daily,dogger_hornsea_offshore,,72,57,0.013888888888888888,0.0,0.0,0.0,6.429639057787548,3.308392041460107,3.121247016327441,9.738031099247657,494.64177717418295,0.0,494.64177717418295,494.64177717418295,0.013888888888888888,,,pass,fact_backtest_prediction_hourly
opportunity_group_mean_notice_v1,6,t_plus_6h,2024-10-02 00:00:00+00:00,2024-10-02 23:00:00+00:00,2024-10-02 00:00:00+00:00,cluster_daily,dogger_hornsea_offshore,,69,69,0.043478260869565216,0.028985507246376812,0.0,0.0,22.018357968406196,8.614685886608221,13.403672081797975,27.823040921565266,1314.6094688344742,78.25566631851552,1236.3538025159585,1236.3538025159585,0.029589371980676328,2.4245091785887527,1.8571526048745959,warn,fact_backtest_prediction_hourly
