settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-05,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,4,4,0,1.1166666666666667,1.1166666666666667,0.0,0.0,0.0,0.0,0.0,116.43599999999999,fully_estimated,
2024-10-05,T_VKNGW-1,VKNGW-1,shetland_wind,Shetland Wind,Scotland,mapped,2,2,0,0.4999999999999999,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,10.111999999999998,fully_estimated,
2024-10-05,T_VKNGW-2,VKNGW-2,shetland_wind,Shetland Wind,Scotland,mapped,2,2,0,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,2.8526000000000002,fully_estimated,
2024-10-05,T_VKNGW-3,VKNGW-3,shetland_wind,Shetland Wind,Scotland,mapped,2,2,0,0.3833333333333332,0.3833333333333332,0.0,0.0,0.0,0.0,0.0,4.651199999999999,fully_estimated,
2024-10-05,T_VKNGW-4,VKNGW-4,shetland_wind,Shetland Wind,Scotland,mapped,2,2,0,0.3666666666666666,0.3666666666666666,0.0,0.0,0.0,0.0,0.0,3.5299999999999927,fully_estimated,
2024-10-05,T_CGTHW-1,CGTHW-1,,,,unmapped,1,1,0,0.2666666666666666,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,2.1999999999999997,fully_estimated,
2024-10-05,E_BABAW-1,BABAW-1,,,,unmapped,1,1,0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,4.134,fully_estimated,
2024-10-05,T_BDCHW-1,BDCHW-1,,,,unmapped,1,1,0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,2.107,fully_estimated,
2024-10-06,T_MOWEO-1,MOWEO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,2,0,2,1.7666666666666668,0.0,1.7666666666666668,1.7666666666666668,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-06,T_GORDW-2,GORDW-2,,,,unmapped,2,0,2,0.41666666666666663,0.0,0.41666666666666663,0.0,0.0,0.41666666666666663,0.0,0.0,fully_blocked,physical_below_generation
2024-10-06,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,5,5,0,11.5,11.5,0.0,0.0,0.0,0.0,0.0,478.7225999999999,fully_estimated,
2024-10-06,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,2,2,0,7.933333333333334,7.933333333333334,0.0,0.0,0.0,0.0,0.0,105.38899999999997,fully_estimated,
2024-10-06,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,5,5,0,3.716666666666667,3.716666666666667,0.0,0.0,0.0,0.0,0.0,74.80859999999998,fully_estimated,
