settlement_date,bmu_family_key,bmu_family_label,cluster_key,cluster_label,parent_region,mapping_status,distinct_bmu_count,dispatch_half_hour_count,lost_energy_estimate_half_hour_count,accepted_down_delta_mwh_lower_bound,same_bmu_dispatch_increment_mwh_lower_bound,family_day_dispatch_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_minus_lost_energy_gap_mwh,share_of_day_dispatch_gap,share_of_day_remaining_qa_shortfall,primary_dispatch_block_reason
2024-10-05,WISTW,WISTW,,,,unmapped,1,2,0,11.2,0.0,0.0,0.0,11.2,0.0,11.2,0.0012743286307699163,0.0009045388467129703,availability_unknown
2024-10-05,GORDW,GORDW,,,,unmapped,1,6,0,0.3333333333333333,9.483333333333333,0.0,9.483333333333333,9.816666666666666,0.0,9.816666666666666,0.0011169338742908939,0.0007928175308243149,availability_unknown
2024-10-05,BDCHW,BDCHW,,,,unmapped,1,3,0,0.08333333333333333,8.416666666666666,0.0,8.416666666666666,8.5,0.0,8.5,0.00096712440728074,0.0006864803747375222,availability_unknown
2024-10-05,BRYBW,BRYBW,,,,unmapped,1,3,0,0.03333333333333333,6.25,0.0,6.25,6.283333333333333,0.0,6.283333333333333,0.0007149135324408608,0.0005074570613255801,availability_unknown
2024-10-05,WDRGW,WDRGW,,,,unmapped,1,1,0,3.583333333333333,0.0,0.0,0.0,3.583333333333333,0.0,3.583333333333333,0.00040770930895168446,0.0002893985893501319,availability_unknown
2024-10-05,SANQW,SANQW,,,,unmapped,1,2,0,2.7,0.0,0.0,0.0,2.7,0.0,2.7,0.00030720422348917627,0.00021805847197544826,availability_unknown
2024-10-06,SGRWO,Seagreen,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,6,195,0,18.98333333333333,905.1916666666666,5978.916666666666,6884.108333333334,6903.091666666666,0.0,6903.091666666666,0.9189765765925676,0.5767957609180036,availability_unknown
2024-10-06,MOWEO,Moray East,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,2,5,0,1.7666666666666668,304.8333333333333,118.0,422.8333333333333,424.6,0.0,424.6,0.05652502867742172,0.03547794117647059,availability_unknown
2024-10-06,DOREW,DOREW,,,,unmapped,2,8,0,1.6166666666666667,111.88333333333333,0.0,111.88333333333333,113.5,0.0,113.5,0.015109728579574577,0.009483622994652406,availability_unknown
2024-10-06,HALSW,HALSW,,,,unmapped,1,4,0,0.7,42.8,0.0,42.8,43.5,0.0,43.5,0.005790953244154133,0.003634692513368984,availability_unknown
2024-10-06,GORDW,GORDW,,,,unmapped,1,6,0,0.41666666666666663,14.058333333333334,0.0,14.058333333333334,14.475000000000001,0.0,14.475000000000001,0.0019269896140030134,0.0012094752673796792,availability_unknown
2024-10-06,PNYCW,Pen y Cymoedd,,,England/Wales,region_only,1,2,0,7.933333333333334,0.0,0.0,0.0,7.933333333333334,0.0,7.933333333333334,0.0010561278713476503,0.0006628787878787879,availability_unknown
2024-10-06,VKNGW,Viking,shetland_wind,Shetland Wind,Scotland,mapped,4,8,0,1.8666666666666665,2.75,0.0,2.75,4.616666666666666,0.0,4.616666666666666,0.0006145954209313007,0.0003857508912655971,availability_unknown
2024-10-07,MOWEO,Moray East,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,3,38,0,8.833333333333334,537.3,2951.5,3488.8,3497.633333333333,0.0,3497.633333333333,0.9638362757885842,0.32533097696338326,availability_unknown
2024-10-07,BTUIW,Beinn Tharsuinn,,,,unmapped,1,11,0,0.3,30.2,0.0,30.2,30.5,0.0,30.5,0.00840482795363107,0.002836945400427867,availability_unknown
2024-10-07,HALSW,HALSW,,,,unmapped,1,3,0,0.6333333333333333,29.366666666666667,0.0,29.366666666666667,30.0,0.0,30.0,0.008267043888817447,0.0027904380987815087,availability_unknown
2024-10-07,VKNGW,Viking,shetland_wind,Shetland Wind,Scotland,mapped,4,28,0,3.4833333333333334,22.4,0.0,22.4,25.883333333333333,0.0,25.883333333333333,0.007132621755185274,0.002407527981893157,availability_unknown
2024-10-07,KENNW,KENNW,,,,unmapped,1,11,0,0.16666666666666669,18.4,0.0,18.4,18.566666666666666,0.0,18.566666666666666,0.005116381606745908,0.0017269711344681114,availability_unknown
2024-10-07,GORDW,GORDW,,,,unmapped,1,2,0,0.4,11.991666666666667,0.0,11.991666666666667,12.391666666666667,0.0,12.391666666666667,0.003414748406297651,0.0011526059591355844,availability_unknown
2024-10-07,KYPEW,Kype Muir,,,,unmapped,1,8,0,0.11666666666666667,6.716666666666667,0.0,6.716666666666667,6.833333333333333,0.0,6.833333333333333,0.001883048885786196,0.0006355997891668992,availability_unknown
2024-10-07,DOREW,DOREW,,,,unmapped,2,3,0,0.25,5.5,0.0,5.5,5.75,0.0,5.75,0.0015845167453566772,0.0005348339689331225,availability_unknown
2024-10-07,SGRWO,Seagreen,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,3,0,0.26666666666666666,1.0416666666666665,0.0,1.0416666666666665,1.3083333333333333,0.0,1.3083333333333333,0.00036053496959564973,0.00012169410597463802,availability_unknown
