settlement_date,settlement_period,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,source_key,source_label,target_is_proxy,elexon_bm_unit,national_grid_bm_unit,bm_unit_name,lead_party_name,fuel_type,bm_unit_type,gsp_group_id,gsp_group_name,generation_capacity_mw,mapping_status,mapping_confidence,mapping_rule,cluster_key,cluster_label,parent_region,generation_mwh,pn_level_from_mw,pn_level_to_mw,pn_mean_mw,pn_mwh,qpn_level_from_mw,qpn_level_to_mw,qpn_mean_mw,qpn_mwh,mils_level_from_mw,mils_level_to_mw,mils_mean_mw,mils_mwh,mels_level_from_mw,mels_level_to_mw,mels_mean_mw,mels_mwh,physical_baseline_source_dataset,physical_baseline_mwh,physical_consistency_flag,counterfactual_method,counterfactual_valid_flag
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HOWAO-2,HOWAO-2,HORNSEA_1B,Hornsea 1 Limited,WIND,T,,,400.0,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,193.397,382.0,382.0,382.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,399.0,399.0,199.5,PN,191.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HOWAO-3,HOWAO-3,HORNSEA_1C,Hornsea 1 Limited,WIND,T,,,400.0,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,188.796,375.0,375.0,375.0,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,392.0,196.0,PN,187.5,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HOWBO-1,HOWBO-1,HORNSEA_WF_2A,Breesea Limited,WIND,T,,,440.0,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,209.991,413.0,416.0,414.5,207.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,435.0,435.0,217.5,PN,207.25,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HOWBO-2,HOWBO-2,HORNSEA_WF_2B,Sonningmay Wind Limited,WIND,T,,,440.0,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,203.26,417.0,421.0,419.0,209.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,440.0,440.0,220.0,PN,209.5,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HOWBO-3,HOWBO-3,HORNSEA_WF_2C,Soundmark Wind Limited,WIND,T,,,440.0,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,181.77,351.0,354.0,352.5,176.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,370.0,370.0,185.0,PN,176.25,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HRSTW-1,HRSTW-1,Harestanes,SP Renewables (UK) Limited,WIND,T,,,142.3,unmapped,none,,,,,21.48,52.0,52.0,52.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,62.5,PN,26.0,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_KENNW-1,KENNW-1,Kennoxhead Wind Farm,Kennoxhead Wind Farm Limited,WIND,T,,,60.0,unmapped,none,,,,,12.925,22.0,25.0,23.5,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,30.0,PN,11.75,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_KILBW-1,KILBW-1,KILBW,Kilbraur Wind Energy Ltd,WIND,T,,,68.51,unmapped,none,,,,,0.14,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,67.0,33.5,PN,1.0,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_KLGLW-1,KLGLW-1,Kilgallioch Windfarm,SP Renewables (UK) Limited,WIND,T,,,228.0,unmapped,none,,,,,22.658,56.0,56.0,56.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,213.0,213.0,106.5,PN,28.0,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_KPMRW-1,KPMRW-1,KYPE MUIR WIND FARM,OnPath Energy Limited,WIND,T,,,89.0,unmapped,none,,,,,9.64,20.0,21.0,20.5,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,88.0,44.0,PN,10.25,True,pn_qpn_physical_max,True
