settlement_date,settlement_period,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,source_key,source_label,source_dataset,target_is_proxy,elexon_bm_unit,national_grid_bm_unit,bm_unit_name,lead_party_name,fuel_type,bm_unit_type,gsp_group_id,gsp_group_name,generation_capacity_mw,mapping_status,mapping_confidence,mapping_rule,cluster_key,cluster_label,parent_region,bid_offer_pair_count,negative_bid_pair_count,valid_negative_bid_pair_count,negative_bid_available_flag,sentinel_bid_pair_count,sentinel_offer_pair_count,sentinel_pair_count,sentinel_bid_available_flag,sentinel_offer_available_flag,sentinel_pair_available_flag,minimum_bid_gbp_per_mwh,maximum_bid_gbp_per_mwh,most_negative_bid_gbp_per_mwh,least_negative_bid_gbp_per_mwh,minimum_offer_gbp_per_mwh,maximum_offer_gbp_per_mwh
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_AKGLW-3,AKGLW-3,AIKENGALL2A-W,AIK2A Sustainable Energy Ltd,WIND,T,,,163.4,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-68.0,-68.0,-68.0,-68.0,99999.0,99999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_ANSUW-1,ANSUW-1,An Suidhe 1,Statkraft Markets Gmbh,WIND,T,,,19.36,unmapped,none,,,,,2,2,2,True,0,0,0,False,False,False,-70.0,-70.0,-70.0,-70.0,50.0,8000.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_ARCHW-1,ARCHW-1,Arecleoch,SP Renewables (UK) Limited,WIND,T,,,114.0,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-95.69,0.0,-95.69,-95.69,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BDCHW-1,BDCHW-1,Bad a Cheo Wind Farm,RWE Generation UK plc,WIND,T,,,270.0,unmapped,none,,,,,2,2,2,True,0,0,0,False,False,False,-178.46,-108.37,-178.46,-108.37,-108.37,8000.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BEATO-1,BEATO-1,Beatrice Offshore WF 1,Beatrice Offshore Windfarm Ltd,WIND,T,,,184.0,mapped,high,Direct BMU and name matches for Beatrice and Moray projects.,moray_firth_offshore,Moray Firth Offshore,Scotland,2,1,1,True,0,0,0,False,False,False,-156.32,0.0,-156.32,-156.32,100.0,1500.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BEATO-2,BEATO-2,Beatrice Offshore WF 2,Beatrice Offshore Windfarm Ltd,WIND,T,,,166.0,mapped,high,Direct BMU and name matches for Beatrice and Moray projects.,moray_firth_offshore,Moray Firth Offshore,Scotland,2,1,1,True,0,0,0,False,False,False,-156.32,0.0,-156.32,-156.32,100.0,1500.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BEATO-3,BEATO-3,Beatrice Offshore WF 3,Beatrice Offshore Windfarm Ltd,WIND,T,,,166.0,mapped,high,Direct BMU and name matches for Beatrice and Moray projects.,moray_firth_offshore,Moray Firth Offshore,Scotland,2,1,1,True,0,0,0,False,False,False,-156.32,0.0,-156.32,-156.32,100.0,1500.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BEATO-4,BEATO-4,Beatrice Offshore WF 4,Beatrice Offshore Windfarm Ltd,WIND,T,,,165.526,mapped,high,Direct BMU and name matches for Beatrice and Moray projects.,moray_firth_offshore,Moray Firth Offshore,Scotland,2,1,1,True,0,0,0,False,False,False,-156.32,0.0,-156.32,-156.32,100.0,1500.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BEINW-1,BEINW-1,Beinneun Wind farm,Beinneun Wind Farm Ltd,WIND,T,,,108.8,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-98.0,0.0,-98.0,-98.0,0.0,9998.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BHLAW-1,BHLAW-1,Bhlaraidh Windfarm 1,SSE Generation Ltd,WIND,T,,,108.0,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-92.44,100.0,-92.44,-92.44,-35.0,400.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BLKWW-1,BLKWW-1,Blackcraig Windfarm,Blackcraig Wind Farm Limited,WIND,T,,,56.216,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-100.0,-100.0,-100.0,-100.0,9999.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BLLA-1,BLLA-1,T_BLLA-1,SP Renewables (UK) Limited,WIND,T,,,118.0,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-99.82,0.0,-99.82,-99.82,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BLLA-2,BLLA-2,Black Law Windfarm Extension,SP Renewables (UK) Limited,WIND,T,,,69.0,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-92.78,0.0,-92.78,-92.78,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BOWLW-1,BOWLW-1,Barrow Offshore Wind,Barrow Offshore Wind Limited,WIND,T,,,90.0,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-91.06,100.0,-91.06,-91.06,-54.52,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_BRBEO-1,BRBEO-1,BURBO_EXTENSION,Burbo Extension Limited,WIND,T,,,257.7,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-179.56,100.0,-179.56,-179.56,-143.65,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_CGTHW-1,CGTHW-1,Corriegarth WF,Corriegarth Wind Energy LTD,WIND,T,,,69.0,unmapped,none,,,,,3,2,2,True,0,0,0,False,False,False,-116.0,0.0,-116.0,-80.7,999.9,999.9
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_CLDCW-1,CLDCW-1,Clyde Central,Clyde Windfarm (Scotland) Ltd,WIND,T,,,200.0,region_only,medium,Direct BMU and name matches for Clyde onshore wind; assign parent region without forcing a cluster.,,,Scotland,2,1,1,True,0,0,0,False,False,False,-102.33,100.0,-102.33,-102.33,-35.0,500.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_CLDNW-1,CLDNW-1,Clyde North,Clyde Windfarm (Scotland) Ltd,WIND,T,,,200.0,region_only,medium,Direct BMU and name matches for Clyde onshore wind; assign parent region without forcing a cluster.,,,Scotland,2,1,1,True,0,0,0,False,False,False,-98.85,100.0,-98.85,-98.85,-35.0,500.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_CLDSW-1,CLDSW-1,Clyde South,Clyde Windfarm (Scotland) Ltd,WIND,T,,,150.0,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-102.13,100.0,-102.13,-102.13,-35.0,500.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_COUWW-1,COUWW-1,Cour Wind Farm,Cour Wind farm (Scotland) Ltd,WIND,T,,,20.5,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-9998.0,0.0,-9998.0,-9998.0,0.0,9998.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_CREAW-1,CREAW-1,Creag Riabhach Wind Farm,Creag Riabhach Wind Farm Ltd,WIND,T,,,93.0,unmapped,none,,,,,2,2,1,True,0,1,1,False,True,True,-90.0,-90.0,-90.0,-90.0,150.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_CRGHW-1,CRGHW-1,Carraig Gheal Wind Farm,Statkraft Markets Gmbh,WIND,T,,,46.0,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-77.0,-77.0,-77.0,-77.0,9999.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_CRYRW-2,CRYRW-2,Crystal Rig II Windfarm,Eneco Energy Trade,WIND,T,,,150.62,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-88.0,-88.0,-88.0,-88.0,9999.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_CRYRW-3,CRYRW-3,Crystal Rig III,Eneco Energy Trade,WIND,T,,,13.8,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-88.0,-88.0,-88.0,-88.0,9999.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DALQW-1,DALQW-1,Dalquhandy  Wind Farm,Statkraft Markets Gmbh,WIND,T,,,42.846,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-70.0,-70.0,-70.0,-70.0,9999.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DBAWO-1,DBAWO-1,Dogger Bank A Offshore WF 1,Doggerbank OWF Project 1,WIND,T,,,302.4,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,2,1,0,False,1,1,2,True,True,True,-9999.0,0.0,-9999.0,-9999.0,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DBAWO-2,DBAWO-2,Dogger Bank A Offshore WF 2,Doggerbank OWF Project 1,WIND,T,,,304.0,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,2,1,0,False,1,1,2,True,True,True,-9999.0,0.0,-9999.0,-9999.0,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DBAWO-3,DBAWO-3,Dogger Bank A Offshore WF 3,Doggerbank OWF Project 1,WIND,T,,,302.8,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,2,1,0,False,1,1,2,True,True,True,-9999.0,0.0,-9999.0,-9999.0,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DBAWO-4,DBAWO-4,Dogger Bank A Offshore WF 4,Doggerbank OWF Project 1,WIND,T,,,152.6,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,2,1,0,False,1,1,2,True,True,True,-9999.0,0.0,-9999.0,-9999.0,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DBAWO-5,DBAWO-5,Dogger Bank A Offshore WF 5,Doggerbank OWF Project 1,WIND,T,,,138.2,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,2,1,0,False,1,1,2,True,True,True,-9999.0,0.0,-9999.0,-9999.0,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DDGNO-1,DDGNO-1,Dudgeon Generator BMU 1,Dudgeon Offshore Wind Ltd,WIND,T,,,108.0,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-175.6,0.0,-175.6,-175.6,0.0,175.6
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DDGNO-2,DDGNO-2,Dudgeon Generator BMU 2,Dudgeon Offshore Wind Ltd,WIND,T,,,90.0,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-175.6,0.0,-175.6,-175.6,0.0,175.6
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DDGNO-3,DDGNO-3,Dudgeon Generator BMU 3,Dudgeon Offshore Wind Ltd,WIND,T,,,102.0,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-175.6,0.0,-175.6,-175.6,0.0,175.6
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DDGNO-4,DDGNO-4,Dudgeon Generator BMU 4,Dudgeon Offshore Wind Ltd,WIND,T,,,102.0,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-175.6,0.0,-175.6,-175.6,0.0,175.6
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_DNLWW-1,DNLWW-1,Dunlaw Extension,SP Renewables (UK) Limited,WIND,T,,,29.75,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-100.29,0.0,-100.29,-100.29,0.0,9999.0
