settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-03,T_EAAO-2,EAAO-2,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,48,36,12,0.0,5742.5,4505.0,1237.5,0.0,0.0,1237.5,0.0,997.903,partially_blocked,physical_below_generation
2024-10-03,T_HOWBO-1,HOWBO-1,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,16,32,0.0,2140.5,930.5,1210.0,0.0,0.0,1210.0,0.0,265.331,partially_blocked,physical_below_generation
2024-10-03,T_WLNYO-4,WLNYO-4,,,,unmapped,48,22,26,0.0,1757.75,598.75,1159.0,0.0,0.0,1159.0,0.0,170.245,partially_blocked,physical_below_generation
2024-10-03,T_MOWWO-1,MOWWO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,48,0.0,1105.5,0.0,1105.5,1105.5,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-03,T_MOWEO-2,MOWEO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,48,2.65,1099.35,0.0,1102.0,1102.0,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-03,T_TKNEW-1,TKNEW-1,humber_offshore,Humber Offshore,England/Wales,mapped,48,12,36,0.0,1794.0,703.5,1090.5,0.0,0.0,1000.5,90.0,260.56600000000003,partially_blocked,physical_below_generation
2024-10-03,T_LARYW-3,LARYO-3,,,,unmapped,48,12,36,0.0,1374.5,291.0,1083.5,0.0,0.0,1083.5,0.0,68.56,partially_blocked,physical_below_generation
2024-10-03,T_MOWWO-2,MOWWO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,48,0.0,1083.0,0.0,1083.0,1083.0,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-03,T_HOWAO-3,HOWAO-3,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,25,23,0.0,2042.75,990.75,1052.0,0.0,0.0,1052.0,0.0,358.71700000000004,partially_blocked,physical_below_generation
2024-10-03,T_LARYW-4,LARYO-4,,,,unmapped,48,10,38,0.0,1262.0,234.5,1027.5,0.0,0.0,1027.5,0.0,57.31,partially_blocked,physical_below_generation
